Tratamento;Tipo;Suco;SFA
Air Fryer_0;Air Fryer;0;52.78122598
Air Fryer_0;Air Fryer;0;48.0157761
Air Fryer_0;Air Fryer;0;58.1763858
Air Fryer_5;Air Fryer;5;45.82958458
Air Fryer_5;Air Fryer;5;50.91830781
Air Fryer_5;Air Fryer;5;55.98585055
Air Fryer_10;Air Fryer;10;46.4393285
Air Fryer_10;Air Fryer;10;41.31112095
Air Fryer_10;Air Fryer;10;37.76762713
Air Fryer_15;Air Fryer;15;28.68542178
Air Fryer_15;Air Fryer;15;24.83652551
Air Fryer_15;Air Fryer;15;20.30587653
Fritadeira_0;Fritadeira;0;25.18377861
Fritadeira_0;Fritadeira;0;24.24843009
Fritadeira_0;Fritadeira;0;27.95382871
Fritadeira_5;Fritadeira;5;18.09888504
Fritadeira_5;Fritadeira;5;21.16954766
Fritadeira_5;Fritadeira;5;17.97166782
Fritadeira_10;Fritadeira;10;16.47779928
Fritadeira_10;Fritadeira;10;14.84410498
Fritadeira_10;Fritadeira;10;11.71173254
Fritadeira_15;Fritadeira;15;4.93039015
Fritadeira_15;Fritadeira;15;6.863316301
Fritadeira_15;Fritadeira;15;2.913895278
Grill_0;Grill;0;42.52474209
Grill_0;Grill;0;47.86096978
Grill_0;Grill;0;53.24079087
Grill_5;Grill;5;37.51451476
Grill_5;Grill;5;42.8278145
Grill_5;Grill;5;47.9250643
Grill_10;Grill;10;47.40388649
Grill_10;Grill;10;44.45816967
Grill_10;Grill;10;53.7485343
Grill_15;Grill;15;39.4155025
Grill_15;Grill;15;47.69272855
Grill_15;Grill;15;37.89624988
