Tratamento;Recipiente;Especie;Altura
T1;SP.Pequeno;E.Citriodora;26.2
T1;SP.Pequeno;E.Citriodora;26.0
T1;SP.Pequeno;E.Citriodora;25.0
T1;SP.Pequeno;E.Citriodora;25.4
T2;SP.Pequeno;E.Grandis;24.8
T2;SP.Pequeno;E.Grandis;24.6
T2;SP.Pequeno;E.Grandis;26.7
T2;SP.Pequeno;E.Grandis;25.2
T3;SP.Grande;E.Citriodora;25.7
T3;SP.Grande;E.Citriodora;26.3
T3;SP.Grande;E.Citriodora;25.1
T3;SP.Grande;E.Citriodora;26.4
T4;SP.Grande;E.Grandis;19.6
T4;SP.Grande;E.Grandis;21.1
T4;SP.Grande;E.Grandis;19.0
T4;SP.Grande;E.Grandis;18.6
T5;Laminado;E.Citriodora;22.8
T5;Laminado;E.Citriodora;19.4
T5;Laminado;E.Citriodora;18.8
T5;Laminado;E.Citriodora;19.2
T6;Laminado;E.Grandis;19.8
T6;Laminado;E.Grandis;21.4
T6;Laminado;E.Grandis;22.8
T6;Laminado;E.Grandis;21.3
