FishFarm;SFA;PUFA
Farm1;33.434;27.511
Farm1;32.975;29.499
Farm1;33.171;26.48
Farm1;32.431;26.842
Farm1;33.254;26.32
Farm1;33.648;27.017
Farm2;27.377;27.091
Farm2;27.115;25.722
Farm2;27.76;26.62
Farm2;27.99;25.832
Farm2;26.999;26.491
Farm2;27.632;27.504
Farm3;36.971;20.937
Farm3;35.203;20.864
Farm3;36.451;20.892
Farm3;36.579;20.834
Farm3;35.584;20.801
Farm3;35.476;20.809
Farm4;31.541;22.535
Farm4;31.792;22.332
Farm4;31.832;21.484
Farm4;32.317;21.693
Farm4;31.805;21.592
Farm4;31.452;24.095
Farm5;29.85;30.387
Farm5;29.756;29.332
Farm5;30.145;29.618
Farm5;30.241;29.639
Farm5;30.318;29.595
Farm5;29.597;29.596
Farm6;32.513;27.059
Farm6;33.093;25.834
Farm6;32.139;26.478
Farm6;33.195;25.467
Farm6;34.04;26.424
Farm6;32.421;24.798
Farm7;21.857;20.409
Farm7;23.163;19.721
Farm7;22.889;19.591
Farm7;22.747;20.26
Farm7;23.077;19.748
Farm7;22.722;19.346
Farm8;17.982;31.327
Farm8;16.967;31.483
Farm8;16.844;30.868
Farm8;18.716;32.076
Farm8;18.858;31.303
Farm8;18.284;30.739
Farm9;25.701;24.572
Farm9;25.403;24.239
Farm9;26.59;24.103
Farm9;25.022;25.581
Farm9;25.922;24.672
Farm9;25.81;23.838
