Densidade;Periodo;Escamas
40;H.Diu;197
40;H.Diu;288
40;H.Diu;276
40;H.Diu;243
40;H.Diu;235
40;H.Diu.H_H;130
40;H.Diu.H_H;168
40;H.Diu.H_H;159
40;H.Diu.H_H;139
40;H.Diu.H_H;130
40;H.Notu;74
40;H.Notu;85
40;H.Notu;80
40;H.Notu;90
40;H.Notu;91
40;H.Notu.H_H;272
40;H.Notu.H_H;308
40;H.Notu.H_H;216
40;H.Notu.H_H;280
40;H.Notu.H_H;221
60;H.Diu;13
60;H.Diu;23
60;H.Diu;0
60;H.Diu;21
60;H.Diu;27
60;H.Diu.H_H;66
60;H.Diu.H_H;72
60;H.Diu.H_H;65
60;H.Diu.H_H;68
60;H.Diu.H_H;70
60;H.Notu;37
60;H.Notu;34
60;H.Notu;30
60;H.Notu;33
60;H.Notu;32
60;H.Notu.H_H;77
60;H.Notu.H_H;73
60;H.Notu.H_H;64
60;H.Notu.H_H;71
60;H.Notu.H_H;69
80;H.Diu;68
80;H.Diu;66
80;H.Diu;66
80;H.Diu;64
80;H.Diu;68
80;H.Diu.H_H;113
80;H.Diu.H_H;112
80;H.Diu.H_H;90
80;H.Diu.H_H;118
80;H.Diu.H_H;109
80;H.Notu;145
80;H.Notu;138
80;H.Notu;97
80;H.Notu;146
80;H.Notu;143
80;H.Notu.H_H;83
80;H.Notu.H_H;101
80;H.Notu.H_H;74
80;H.Notu.H_H;81
80;H.Notu.H_H;88
